Zoey Samaras: The Chef	 Guardian		Investigator		Believer. Hunter.	The Dunwich Legacy 1	
Rex Murphy: The Reporter	 Seeker		Investigator		Reporter.	The Dunwich Legacy 2	
Jenny Barnes: The Dilettante	 Rogue		Investigator		Drifter.	The Dunwich Legacy 3	
Jim Culver: The Musician	 Mystic		Investigator		Performer.	The Dunwich Legacy 4	
"Ashcan" Pete: The Drifter	 Survivor		Investigator		Drifter.	The Dunwich Legacy 5	
Zoey's Cross: Symbol of Righteousness	Neutral	1	Asset	  	Item. Charm.	The Dunwich Legacy 6	
Smite the Wicked	Neutral		Treachery		Task.	The Dunwich Legacy 7	
Search for the Truth	Neutral	1	Event	  	Insight.	The Dunwich Legacy 8	
Rex's Curse	Neutral		Treachery		Curse.	The Dunwich Legacy 9	
Jenny's Twin .45s: A Perfect Fit	Neutral	-2	Asset	  	Item. Weapon. Firearm.	The Dunwich Legacy 10	
Searching for Izzie	Neutral		Treachery		Task.	The Dunwich Legacy 11	
Jim's Trumpet: The Dead Listen	Neutral	2	Asset	  	Item. Instrument. Relic.	The Dunwich Legacy 12	
Final Rhapsody	Neutral		Treachery		Endtimes.	The Dunwich Legacy 13	
Duke: Loyal Hound	Neutral	2	Asset		Ally. Creature.	The Dunwich Legacy 14	
Wracked by Nightmares	Neutral		Treachery		Madness.	The Dunwich Legacy 15	
Blackjack	 Guardian	1	Asset		Item. Weapon. Melee.	The Dunwich Legacy 16	
Taunt	 Guardian	1	Event	 	Tactic.	The Dunwich Legacy 17	
Teamwork	 Guardian	0	Event		Tactic.	The Dunwich Legacy 18	
Taunt (2)	 Guardian	1	Event	  	Tactic.	The Dunwich Legacy 19	
Laboratory Assistant	 Seeker	2	Asset		Ally. Miskatonic. Science.	The Dunwich Legacy 20	
Strange Solution: Unidentified	 Seeker	1	Asset		Item. Science.	The Dunwich Legacy 21	
Shortcut	 Seeker	0	Event	 	Insight. Tactic.	The Dunwich Legacy 22	
Seeking Answers	 Seeker	1	Event	 	Insight.	The Dunwich Legacy 23	
Liquid Courage	 Rogue	1	Asset		Item. Illicit.	The Dunwich Legacy 24	
Think on Your Feet	 Rogue	1	Event	 	Trick.	The Dunwich Legacy 25	
Double or Nothing	 Rogue		Skill		Fortune.	The Dunwich Legacy 26	
