Mark Harrigan: The Soldier	 Guardian		Investigator		Veteran.	The Path to Carcosa 1	
Minh Thi Phan: The Secretary	 Seeker		Investigator		Assistant.	The Path to Carcosa 2	
Sefina Rousseau: The Painter	 Rogue		Investigator		Artist.	The Path to Carcosa 3	
Akachi Onyele: The Shaman	 Mystic		Investigator		Sorcerer.	The Path to Carcosa 4	
William Yorick: The Gravedigger	 Survivor		Investigator		Warden.	The Path to Carcosa 5	
Lola Hayes: The Actress	Neutral		Investigator		Performer.	The Path to Carcosa 6	
The Home Front	Neutral		Skill	   	Practiced. Expert.	The Path to Carcosa 7	
Shell Shock	Neutral		Treachery		Flaw.	The Path to Carcosa 8	
Sophie: In Loving Memory	Neutral		Asset		Item. Spirit.	The Path to Carcosa 9	
Analytical Mind: Between the Lines	Neutral	3	Asset	 	Talent.	The Path to Carcosa 10	
The King in Yellow: Act 1	Neutral		Asset		Tome.	The Path to Carcosa 11	
The Painted World	Neutral		Event	  	Spell.	The Path to Carcosa 12	
Stars of Hyades	Neutral		Treachery		Curse.	The Path to Carcosa 13	
Spirit-Speaker: Envoy of the Alusi	Neutral	2	Asset	  	Ritual.	The Path to Carcosa 14	
Angered Spirits	Neutral		Treachery		Task.	The Path to Carcosa 15	
Bury Them Deep	Neutral	0	Event	  	Task.	The Path to Carcosa 16	
Graveyard Ghouls	Neutral		Enemy		Humanoid. Monster. Ghoul.	The Path to Carcosa 17	
Improvisation	Neutral	0	Event	 	Insight.	The Path to Carcosa 18	
Crisis of Identity	Neutral		Treachery		Madness.	The Path to Carcosa 19	
.32 Colt	 Guardian	3	Asset		Item. Weapon. Firearm.	The Path to Carcosa 20	
True Grit	 Guardian	3	Asset		Talent.	The Path to Carcosa 21	
"Let me handle this!"	 Guardian	0	Event	 	Spirit.	The Path to Carcosa 22	
Ever Vigilant (1)	 Guardian	0	Event	 	Tactic.	The Path to Carcosa 23	
Fieldwork	 Seeker	2	Asset		Talent.	The Path to Carcosa 24	
Archaic Glyphs: Untranslated	 Seeker	0	Asset		Item. Occult. Tome.	The Path to Carcosa 25	
No Stone Unturned	 Seeker	2	Event		Insight.	The Path to Carcosa 26	
In the Know (1)	 Seeker	3	Asset		Talent.	The Path to Carcosa 27	
Stealth	 Rogue	2	Asset		Talent.	The Path to Carcosa 28	
Sleight of Hand	 Rogue	1	Event	 	Trick.	The Path to Carcosa 29	
Daring Maneuver	 Rogue	0	Event		Gambit.	The Path to Carcosa 30	
Lockpicks (1)	 Rogue	3	Asset		Item. Tool. Illicit.	The Path to Carcosa 31	
Alchemical Transmutation	 Mystic	1	Asset		Spell.	The Path to Carcosa 32	
Uncage the Soul	 Mystic	0	Event	 	Spirit.	The Path to Carcosa 33	
Astral Travel	 Mystic	3	Event	 	Spell.	The Path to Carcosa 34	
Spirit Athame (1)	 Mystic	3	Asset		Item. Relic. Weapon. Melee.	The Path to Carcosa 35	
Lantern	 Survivor	2	Asset		Item. Tool.	The Path to Carcosa 36	
Gravedigger's Shovel	 Survivor	2	Asset		Item. Tool. Weapon. Melee.	The Path to Carcosa 37	
Hiding Spot	 Survivor	1	Event	 	Tactic. Trick.	The Path to Carcosa 38	
Resourceful	 Survivor		Skill	  	Innate.	The Path to Carcosa 39	
Overzealous	Neutral		Treachery		Flaw.	The Path to Carcosa 40	
Drawing the Sign	Neutral		Treachery		Pact. Madness.	The Path to Carcosa 41	
The Thing That Follows	Neutral		Enemy		Monster. Curse.	The Path to Carcosa 42	
Curtain Call	Mythos		Scenario			The Path to Carcosa 43	Curtain Call 1
The Third Act	Mythos		Agenda			The Path to Carcosa 44	Curtain Call 2
Encore	Mythos		Agenda			The Path to Carcosa 45	Curtain Call 3
Awakening	Mythos		Act			The Path to Carcosa 46	Curtain Call 4
The Stranger	Mythos		Act			The Path to Carcosa 47	Curtain Call 5
Curtain Call	Mythos		Act			The Path to Carcosa 48	Curtain Call 8
Theatre	Mythos		Location			The Path to Carcosa 49	Curtain Call 9
Lobby	Mythos		Location			The Path to Carcosa 50	Curtain Call 10
Balcony	Mythos		Location			The Path to Carcosa 51	Curtain Call 11
Backstage	Mythos		Location			The Path to Carcosa 52	Curtain Call 12
Lighting Box	Mythos		Location		Private.	The Path to Carcosa 53	Curtain Call 13
