Leo Anderson: The Expedition Leader	 Guardian		Investigator		Veteran. Wayfarer.	The Forgotten Age 1	
Ursula Downs: The Explorer	 Seeker		Investigator		Wayfarer.	The Forgotten Age 2	
Finn Edwards: The Bootlegger	 Rogue		Investigator		Criminal.	The Forgotten Age 3	
Father Mateo: The Priest	 Mystic		Investigator		Believer. Warden.	The Forgotten Age 4	
Calvin Wright: The Haunted	 Survivor		Investigator		Cursed. Drifter.	The Forgotten Age 5	
Mitch Brown: Sole Survivor	Neutral	3	Asset	 	Ally. Wayfarer.	The Forgotten Age 6	
Bought in Blood	Neutral		Treachery		Flaw.	The Forgotten Age 7	
Jake Williams: Loyal Companion	Neutral	3	Asset	 	Ally. Wayfarer.	The Forgotten Age 8	
Call of the Unknown	Neutral		Treachery		Task.	The Forgotten Age 9	
Smuggled Goods	Neutral	0	Event		Supply. Illicit.	The Forgotten Age 10	
Finn's Trusty .38: Never Leave Home Without It	Neutral	2	Asset	 	Item. Weapon. Firearm. Illicit.	The Forgotten Age 11	
Caught Red-Handed	Neutral		Treachery		Blunder.	The Forgotten Age 12	
The Codex of Ages: finis omnium nunc est	Neutral	2	Asset	 	Item. Relic. Tome. Blessed.	The Forgotten Age 13	
Serpents of Yig	Neutral		Enemy		Humanoid. Monster. Serpent.	The Forgotten Age 14	
Until the End of Time	Neutral	1	Asset	 	Talent.	The Forgotten Age 15	
Voice of the Messenger	Neutral		Treachery		Curse. Pact.	The Forgotten Age 16	
Survival Knife	 Guardian	2	Asset		Item. Weapon. Melee.	The Forgotten Age 17	
Venturer	 Guardian	4	Asset		Ally. Wayfarer.	The Forgotten Age 18	
Trusted	 Guardian	1	Event		Upgrade.	The Forgotten Age 19	
Reliable (1)	 Guardian	1	Event		Upgrade.	The Forgotten Age 20	
Dr. Elli Horowitz: Assistant Curator	 Seeker	3	Asset		Ally. Assistant.	The Forgotten Age 21	
Ancient Stone: Unidentified (1)	 Seeker	1	Asset		Item. Relic.	The Forgotten Age 22	
Tooth of Eztli: Mortal Reminder	 Seeker	3	Asset		Item. Relic.	The Forgotten Age 23	
Unearth the Ancients	 Seeker	1	Event	 	Insight.	The Forgotten Age 24	
Treasure Hunter (1)	 Rogue	1	Asset		Ally. Wayfarer.	The Forgotten Age 25	
Decorated Skull: Doom Begets Doom	 Rogue	0	Asset		Item. Relic. Cursed.	The Forgotten Age 26	
Eavesdrop	 Rogue	1	Event	 	Insight. Trick.	The Forgotten Age 27	
"You handle this one!"	 Rogue	0	Event	 	Trick.	The Forgotten Age 28	
Mists of R'lyeh	 Mystic	2	Asset		Spell.	The Forgotten Age 29	
The Chthonian Stone: Stygian Waymark	 Mystic	3	Asset		Item. Relic. Cursed.	The Forgotten Age 30	
Protective Incantation (1)	 Mystic	1	Asset		Ritual. Blessed.	The Forgotten Age 31	
Dark Prophecy	 Mystic	1	Event	 	Augury.	The Forgotten Age 32	
Improvised Weapon	 Survivor	1	Event		Tactic. Improvised.	The Forgotten Age 33	
