Carolyn Fern: The Psychologist	 Guardian		Investigator		Medic.	The Circle Undone 1	
Joe Diamond: The Private Investigator	 Seeker		Investigator		Detective.	The Circle Undone 2	
Preston Fairmont: The Millionaire	 Rogue		Investigator		Silver Twilight. Socialite.	The Circle Undone 3	
Diana Stanley: The Redeemed Cultist	 Mystic		Investigator		Cultist. Silver Twilight.	The Circle Undone 4	
Rita Young: The Athlete	 Survivor		Investigator		Miskatonic.	The Circle Undone 5	
Marie Lambeau: The Entertainer	 Mystic		Investigator		Performer. Sorcerer.	The Circle Undone 6	
Hypnotic Therapy	Neutral	2	Asset	  	Talent.	The Circle Undone 7	
Rational Thought	Neutral		Treachery		Flaw.	The Circle Undone 8	
Detective's Colt 1911s	Neutral	4	Asset	  	Item. Weapon. Firearm.	The Circle Undone 9	
Unsolved Case	Neutral	4	Event		Insight. Mystery.	The Circle Undone 10	
Family Inheritance: A Windfall? Or a Burden?	Neutral		Asset		Boon.	The Circle Undone 11	
Lodge "Debts"	Neutral	10	Event		Pact.	The Circle Undone 12	
Twilight Blade: Sanctum's Reward	Neutral	3	Asset	  	Item. Relic. Weapon.	The Circle Undone 13	
Dark Insight	Neutral	2	Event		Insight.	The Circle Undone 14	
Terrible Secret	Neutral		Treachery		Madness.	The Circle Undone 15	
"I'm done runnin'!"	Neutral	0	Event	  	Spirit.	The Circle Undone 16	
Hoods	Neutral		Enemy		Humanoid. Cultist.	The Circle Undone 17	
Mystifying Song	Neutral	3	Event	 	Spell. Song.	The Circle Undone 18	
Baron Samedi: Lord of the Cemetery	Neutral		Asset		Avatar.	The Circle Undone 19	
Interrogate	 Guardian	2	Event	 	Tactic. Insight.	The Circle Undone 20	
Delay the Inevitable	 Guardian	2	Event	 	Insight. Spirit. Tactic.	The Circle Undone 21	
Steadfast	 Guardian		Skill	 	Innate.	The Circle Undone 22	
Ace of Swords: Let Your Arrow Fly True (1)	 Guardian	3	Asset		Tarot.	The Circle Undone 23	
Fingerprint Kit	 Seeker	4	Asset		Item. Tool.	The Circle Undone 24	
Connect the Dots	 Seeker	4	Event	 	Insight.	The Circle Undone 25	
Curiosity	 Seeker		Skill	 	Innate.	The Circle Undone 26	
Death • XIII: Free from the Past (1)	 Seeker	3	Asset		Tarot.	The Circle Undone 27	
Well Connected	 Rogue	2	Asset		Condition.	The Circle Undone 28	
Money Talks	 Rogue	0	Event		Favor. Gambit.	The Circle Undone 29	
Cunning	 Rogue		Skill	 	Innate.	The Circle Undone 30	
The Moon • XVIII: Message from Your Inner Self (1)	 Rogue	3	Asset		Tarot.	The Circle Undone 31	
Deny Existence	 Mystic	0	Event		Spell. Paradox.	The Circle Undone 32	
Eldritch Inspiration	 Mystic	0	Event	 	Spell. Spirit.	The Circle Undone 33	
Prophesy	 Mystic		Skill		Practiced.	The Circle Undone 34	
Four of Cups: Chalice of the Heart (1)	 Mystic	3	Asset		Tarot.	The Circle Undone 35	
Track Shoes	 Survivor	3	Asset		Item. Clothing. Footwear.	The Circle Undone 36	
Act of Desperation	 Survivor	0	Event	 	Tactic. Gambit.	The Circle Undone 37	
