Tommy Muldoon: The Rookie Cop	 Guardian		Investigator		Police. Warden.	The Dream-Eaters 1	
Mandy Thompson: The Researcher	 Seeker		Investigator		Assistant. Scholar.	The Dream-Eaters 2	
Tony Morgan: The Bounty Hunter	 Rogue		Investigator		Criminal. Hunter.	The Dream-Eaters 3	
Luke Robinson: The Dreamer	 Mystic		Investigator		Dreamer. Drifter. Wayfarer.	The Dream-Eaters 4	
Patrice Hathaway: The Violinist	 Survivor		Investigator		Performer. Cursed.	The Dream-Eaters 5	
Becky: Custom Marlin Model 1894	Neutral	2	Asset	  	Item. Weapon. Firearm.	The Dream-Eaters 6	
Rookie Mistake	Neutral		Treachery		Blunder. Flaw.	The Dream-Eaters 7	
Occult Evidence	Neutral	0	Event		Insight. Research.	The Dream-Eaters 8	
Shocking Discovery	Neutral		Treachery		Blunder. Mystery.	The Dream-Eaters 9	
Bounty Contracts	Neutral		Asset		Job.	The Dream-Eaters 10	
Tony's .38 Long Colt	Neutral	3	Asset	  	Item. Weapon. Firearm.	The Dream-Eaters 11	
Tony's Quarry	Neutral		Enemy		Humanoid. Monster. Deep One.	The Dream-Eaters 12	
Gate Box: Worlds within Worlds	Neutral	3	Asset		Item. Relic.	The Dream-Eaters 13	
Detached from Reality	Neutral		Treachery		Madness.	The Dream-Eaters 14	
Dream-Gate: Wondrous Journey	Neutral		Location		Dreamlands.	The Dream-Eaters 15	
Patrice's Violin: My Muse	Neutral	2	Asset	  	Item. Instrument.	The Dream-Eaters 16	
Watcher from Another Dimension	Neutral		Enemy		Monster. Extradimensional.	The Dream-Eaters 17	
The Hungering Blade: Calamitous Blade of Celephaïs (1)	 Guardian	3	Asset		Item. Weapon. Melee. Relic. Cursed.	The Dream-Eaters 18	
Bloodlust	Neutral		Treachery		Madness.	The Dream-Eaters 19	
Solemn Vow	 Guardian	0	Asset	 	Spirit.	The Dream-Eaters 20	
Segment of Onyx (1)	 Seeker	1	Asset		Item. Relic. Occult.	The Dream-Eaters 21	
Pendant of the Queen: Of Nothing at All	 Seeker		Asset		Item. Relic.	The Dream-Eaters 22	
Astounding Revelation	 Seeker		Event		Research.	The Dream-Eaters 23	
Crystallizer of Dreams	 Rogue	1	Asset		Item. Relic.	The Dream-Eaters 24	
Guardian of the Crystallizer	Neutral		Enemy		Monster.	The Dream-Eaters 25	
Easy Mark (1)	 Rogue	0	Event	 	Trick.	The Dream-Eaters 26	
Stargazing (1)	 Mystic	0	Event		Insight. Augury.	The Dream-Eaters 27	
The Stars Are Right	 Mystic		Event		Augury.	The Dream-Eaters 28	
Open Gate	 Mystic	1	Event	 	Spell.	The Dream-Eaters 29	
Miss Doyle: Cat General of Ulthar (1)	 Survivor	3	Asset		Ally. Creature. Dreamlands.	The Dream-Eaters 30	
Hope	 Survivor	1	Asset	 	Ally. Creature. Dreamlands.	The Dream-Eaters 31	
Zeal	 Survivor	1	Asset	 	Ally. Creature. Dreamlands.	The Dream-Eaters 32	
Augur	 Survivor	1	Asset	 	Ally. Creature. Dreamlands.	The Dream-Eaters 33	
Fortuitous Discovery	 Survivor	-2	Event		Fortune. Insight.	The Dream-Eaters 34	
Self-Centered	Neutral		Treachery		Flaw.	The Dream-Eaters 35	
Kleptomania	Neutral		Asset		Madness. Talent.	The Dream-Eaters 36	
Narcolepsy	Neutral		Treachery		Madness.	The Dream-Eaters 37	
Your Worst Nightmare	Neutral		Enemy		Monster.	The Dream-Eaters 38	
Beyond the Gates of Sleep	Mythos		Scenario			The Dream-Eaters 39	Beyond the Gates of Sleep 1
Journey through the Gates	Mythos		Agenda			The Dream-Eaters 40	Beyond the Gates of Sleep 2
Entering the Dreamlands	Mythos		Act			The Dream-Eaters 41	Beyond the Gates of Sleep 3
The Trial of Nasht and Kaman-Thah	Mythos		Act			The Dream-Eaters 42	Beyond the Gates of Sleep 4
The Final Descent	Mythos		Act			The Dream-Eaters 43	Beyond the Gates of Sleep 5
The Path	Mythos		Act			The Dream-Eaters 44	Beyond the Gates of Sleep 6
Seventy Steps: Of Lighter Slumber	Mythos		Location		Steps.	The Dream-Eaters 45	Beyond the Gates of Sleep 7
The Cavern of Flame	Mythos		Location		Cave. Steps.	The Dream-Eaters 46	Beyond the Gates of Sleep 8
